HEADER,SUB,ITEM,UNIT,DESCRIPTION,IMPORT RATE,EKSPORT RATE,TRQ,SST,EXCISE,CESS 1,CESS 2,CESS 3,IMPPRO,EKSPRO
101,,,,"Live horses, asses, mules and hinnies.",,,,,,,,,,
101,,,,- Horses :,,,,,,,,,,
101,21,0,u,- - Pure-bred breeding animals,0.00%,0.00%,,5.00%,,,,,,
101,29,0,u,- - Other,0.00%,0.00%,,5.00%,,,,,,
101,30,,,- Asses :,,,,,,,,,,
101,30,1000,u,- - Pure-bred breeding animals,0.00%,0.00%,,5.00%,,,,,,
101,30,9000,u,- - Other,0.00%,0.00%,,5.00%,,,,,,
101,90,0,u,- Other,0.00%,0.00%,,5.00%,,,,,,
102,,,,Live bovine animals.,,,,,,,,,,
102,,,,- Cattle :,,,,,,,,,,
102,,,,- - - Male cattle :,,,,,,,,,,
102,,,,- Buffalo :,,,,,,,,,,
102,21,0,u,- - Pure-bred breeding animals,0.00%,5.00%,,0.00%,,,,,,
102,29,,,- - Other :,,,,,,,,,,
102,29,1100,u,- - - - Oxen,0.00%,0.00%,,0.00%,,,,,,
102,29,1900,u,- - - - Other,0.00%,5.00%,,0.00%,,,,,,
102,29,9000,u,- - - Other,0.00%,5.00%,,0.00%,,,,,,
102,31,0,u,- - Pure-bred breeding animals,0.00%,5.00%,,0.00%,,,,,,
102,39,0,u,- - Other,0.00%,5.00%,,0.00%,,,,,,
102,90,,,- Other :,,,,,,,,,,
102,90,1000,u,- - Pure-bred breeding animals,0.00%,5.00%,,0.00%,,,,,,
102,90,9000,u,- - Other,0.00%,5.00%,,0.00%,,,,,,
103,,,,Live swine.,,,,,,,,,,
103,,,,- Other :,,,,,,,,,,
103,10,0,u,- Pure-bred breeding animals,0.00%,0.00%,,0.00%,,,,,,
103,91,0,u,- - Weighing less than 50 kg,,,In: 15% Out: 20%,0.00%,,,,,,
103,92,0,u,- - Weighing 50 kg or more,,,In: 15% Out: 20%,0.00%,,,,,,
104,,,,Live sheep and goats.,,,,,,,,,,
104,10,,,- Sheep :,,,,,,,,,,
104,10,1000,u,- - Pure-bred breeding animals,0.00%,0.00%,,0.00%,,,,,,
104,10,9000,u,- - Other,0.00%,0.00%,,0.00%,,,,,,
104,20,,,- Goats :,,,,,,,,,,
104,20,1000,u,- - Pure-bred breeding animals,0.00%,5.00%,,0.00%,,,,,,
104,20,9000,u,- - Other,0.00%,5.00%,,0.00%,,,,,,
105,,,,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",,,,,,,,,,
105,,,,- Weighing not more than 185 g :,,,,,,,,,,
105,,,,- Other :,,,,,,,,,,
105,,,,- - - Fighting cocks :,,,,,,,,,,
105,,,,- - - Other :,,,,,,,,,,
105,11,,,- - Fowls of the species Gallus domesticus :,,,,,,,,,,
105,11,,,- - Fowls of the species Gallus domesticus :,,,,,,,,,,
105,11,1000,u,- - - Breeding fowls,0.00%,0.00%,,0.00%,,,,,,
105,11,9000,u,- - - Other,,,In: 10% Out: 20%,0.00%,,,,,,
105,12,,,- - Turkeys :,,,,,,,,,,
105,12,1000,u,- - - Breeding turkeys,0.00%,0.00%,,0.00%,,,,,,
105,12,9000,u,- - - Other,0.00%,0.00%,,0.00%,,,,,,
105,13,,,- - Ducks :,,,,,,,,,,
105,13,1000,u,- - - Breeding ducklings,0.00%,0.00%,,0.00%,,,,,,
105,13,9000,u,- - - Other,0.00%,0.00%,,0.00%,,,,,,
105,14,,,- - Geese :,,,,,,,,,,
105,14,1000,u,- - - Breeding goslings,0.00%,0.00%,,0.00%,,,,,,
